name,country,year,founder,description
Jeep,USA,1941,Willys-Overland,"Jeep is an American automobile marque, now owned by Stellantis. It is known for its rugged off-road vehicles and military origins."
GMC,USA,1911,William C. Durant,"GMC (General Motors Truck Company) is a division of the American automobile manufacturer General Motors, primarily focused on trucks and utility vehicles."
Dodge,USA,1900,Horace Elgin Dodge and John Francis Dodge,"Dodge is an American brand of automobiles, a division of Stellantis, known for its performance cars, trucks, and SUVs."
RAM,USA,2010,FCA US LLC,"RAM Trucks, a division of Stellantis, focuses on light to mid-weight commercial vehicles and pickup trucks."
Nissan,Japan,1933,Yoshisuke Aikawa,"Nissan is a Japanese multinational automobile manufacturer, known for producing a wide range of cars, trucks, and SUVs."
Ford,USA,1903,Henry Ford,"Ford Motor Company is an American multinational automaker that has its main headquarters in Dearborn, Michigan. It was founded by Henry Ford."
Hyundai,South Korea,1967,Chung Ju-yung,"Hyundai Motor Company is a South Korean multinational automotive manufacturer headquartered in Seoul, South Korea."
Chevrolet,USA,1911,Louis Chevrolet and William C. Durant,"Chevrolet, colloquially referred to as Chevy, is an American automobile division of the American manufacturer General Motors."
Volkswagen,Germany,1937,Deutsche Arbeitsfront (German Labour Front),"Volkswagen is a German motor vehicle manufacturer headquartered in Wolfsburg, Germany, known for the iconic Beetle and a wide range of vehicles."
Chrysler,USA,1925,Walter Chrysler,"Chrysler is one of the 'Big Three' automobile manufacturers in the United States, now a part of Stellantis."
Kia,South Korea,1944,Kim Cheol-ho,"Kia Corporation is a South Korean multinational automotive manufacturer headquartered in Seoul, known for producing a wide range of vehicles."
Mazda,Japan,1920,Jujiro Matsuda,"Mazda Motor Corporation is a Japanese multinational automaker based in FuchÅ«, Hiroshima, Japan, known for its innovative rotary engine technology."
Acura,Japan (USA),1986,Honda Motor Co.,"Acura is the luxury vehicle division of the Japanese automaker Honda, known for its performance and luxury vehicles."
Subaru,Japan,1953,Kenji Kita and Chikuhei Nakajima,"Subaru is the automobile manufacturing division of the Japanese transportation conglomerate Subaru Corporation, known for its use of the boxer engine layout."
Audi,Germany,1909,August Horch,"Audi is a German automobile manufacturer that designs, engineers, produces, markets, and distributes luxury vehicles."
BMW,Germany,1916,"Franz Josef Popp, Karl Rapp, and Camillo Castiglioni",BMW (Bayerische Motoren Werke AG) is a German multinational company which produces luxury vehicles and motorcycles.
Toyota,Japan,1937,Kiichiro Toyoda,"Toyota Motor Corporation is a Japanese multinational automotive manufacturer headquartered in Toyota City, Japan."
Buick,USA,1903,David Dunbar Buick,"Buick is a division of the American automobile manufacturer General Motors, offering primarily luxury vehicles."
Mercedes-Benz,Germany,1926,Karl Benz and Gottlieb Daimler,"Mercedes-Benz is a German global automobile marque and a division of Daimler AG, known for luxury vehicles, buses, coaches, and trucks."
Honda,Japan,1948,Soichiro Honda and Takeo Fujisawa,"Honda Motor Co., Ltd. is a Japanese public multinational conglomerate known for manufacturing automobiles, motorcycles, and power equipment."
Lincoln,USA,1917,Henry M. Leland,"Lincoln, formally the Lincoln Motor Company, is a luxury vehicle division of the American automobile manufacturer Ford."
Cadillac,USA,1902,Henry M. Leland,Cadillac is a division of the American automobile manufacturer General Motors that designs and builds luxury vehicles.
INFINITI,Japan,1989,Nissan Motor Co.,"INFINITI is the luxury vehicle division of the Japanese automaker Nissan, headquartered in Yokohama, Japan."
Lexus,Japan,1989,Eiji Toyoda,"Lexus is the luxury vehicle division of the Japanese automaker Toyota, known for its reliability and luxury."
Land Rover,UK,1948,Maurice Wilks,"Land Rover is a British brand of predominantly four-wheel drive, off-road capable vehicles, owned by multinational car manufacturer Jaguar Land Rover."
Volvo,Sweden,1927,Assar Gabrielsson and Gustaf Larson,Volvo Cars is a Swedish luxury automobile manufacturer headquartered in Torslanda in Gothenburg.
Genesis,South Korea,2015,Hyundai Motor Group,"Genesis Motor, LLC is the luxury vehicle division of the South Korean vehicle manufacturer Hyundai Motor Group."
Jaguar,UK,1922,William Lyons and William Walmsley,"Jaguar is a brand of Jaguar Land Rover, a British multinational car manufacturer, known for luxury and sports cars."
